"","sample","latitude","longitude","Class","depth","slope4","slope8","aspect4","aspect8","tpi","tri","roughness","flowdir"
"23","MF-GB113",-33.56969737,115.2362963,"Turf.algae",-22.1265659332275,0.372483903269548,0.372483903269548,201.168274210684,201.168274210684,0.022263765335083,0.0513589382171631,0.151622772216797,16
"24","MF-GB128",-33.56540445,115.2369006,"Unconsolidated",-22.3051948547363,0.123859026068923,0.123859026068923,339.180460357289,339.180460357289,0.00825953483581543,0.0212681293487549,0.0739421844482422,16
"84","103",-33.4581167,115.4547167,"Seagrasses",-19.680061340332,0.321230193333363,0.321230193333363,225.019188317108,225.019188317108,-0.0368800163269043,0.0596232414245605,0.151342391967773,16
"85","1038",-33.5333333,115.4200167,"Seagrasses",-14.9296073913574,0.111281078764257,0.111281078764257,240.932215657922,240.932215657922,-0.00773274898529053,0.0163677930831909,0.0474758148193359,16
"87","106",-33.57825,115.3451333,"Seagrasses",-14.7137336730957,0.540830070580416,0.540830070580416,357.371664536578,357.371664536578,0.00919997692108154,0.0692712068557739,0.250061988830566,16
"88","107",-33.5833333,115.1881167,"Seagrasses",-20.1174697875977,0.354849739637167,0.354849739637167,344.041171061311,344.041171061311,0.000897645950317383,0.0478188991546631,0.159212112426758,16
"90","11",-33.5712167,115.2958167,"Seagrasses",-22.7132339477539,0.334693008307183,0.334693008307183,213.441941257059,213.441941257059,-0.0181539058685303,0.0566389560699463,0.184745788574219,16
"94","112",-33.4052,115.5224,"Seagrasses",-15.9359512329102,0.675969205169963,0.675969205169963,309.321593543945,309.321593543945,0.0203478336334229,0.0882935523986816,0.33768367767334,16
"101","11R2",-33.3967333,115.5076167,"Seagrasses",-19.8777103424072,0.0878570844064177,0.0878570844064177,122.519007755399,122.519007755399,-0.0189950466156006,0.0479753017425537,0.174839019775391,128
"102","11R3",-33.41215,115.5204667,"Seagrasses",-15.8720731735229,0.640730029426075,0.640730029426075,102.46749312907,102.46749312907,0.0528417825698853,0.0864089727401733,0.277771949768066,1
"103","11R4",-33.4197,115.51755,"Macroalgae",-15.3965177536011,0.991632051764098,0.991632051764098,118.768902286918,118.768902286918,0.0447971820831299,0.128136873245239,0.51585578918457,1
"105","122",-33.5375,115.4020833,"Seagrasses",-14.6169509887695,0.255629472307111,0.255629472307111,317.380786493255,317.380786493255,0.0019676685333252,0.0337123870849609,0.133125305175781,16
"106","12RC1",-33.5932167,115.2132833,"Consolidated",-15.8183851242065,0.809724644482021,0.809724644482021,192.076428811057,192.076428811057,-0.24749219417572,0.253592371940613,0.560407638549805,16
"107","12RC2",-33.5916,115.23785,"Seagrasses",-16.6854000091553,0.182470495788183,0.182470495788183,32.0396210535437,32.0396210535437,0.0125179290771484,0.0321707725524902,0.104400634765625,1
"108","12RC3",-33.5914667,115.24145,"Turf.algae",-17.0737190246582,1.65528079763068,1.65528079763068,156.465188637854,156.465188637854,-0.0592319965362549,0.22786021232605,0.705167770385742,1
"109","12RC5",-33.5621333,115.3443,"Turf.algae",-15.3166370391846,2.21291755681707,2.21291755681707,171.976199377703,171.976199377703,0.23675274848938,0.305507898330688,0.929201126098633,1
"110","12RC6",-33.5711,115.3481333,"Turf.algae",-15.9503831863403,0.700086150699262,0.700086150699262,98.756132579761,98.756132579761,-0.050118088722229,0.100776791572571,0.362123489379883,1
"111","12RC7",-33.5118,115.41785,"Turf.algae",-15.2707042694092,0.201433111101918,0.201433111101918,214.368095270595,214.368095270595,0.00760328769683838,0.0343316793441772,0.136054039001465,16
"112","12RC8",-33.5148667,115.41815,"Macroalgae",-14.3992586135864,0.481832107030211,0.481832107030211,129.01655358467,129.01655358467,-0.0129549503326416,0.0823826789855957,0.303943634033203,1
"113","12RC9",-33.5162167,115.4064167,"Turf.algae",-15.9921770095825,0.625817394996688,0.625817394996688,309.447367169061,309.447367169061,-0.0259549617767334,0.0820021629333496,0.342730522155762,16
"115","135",-33.50185,115.4207333,"Turf.algae",-16.7591743469238,0.330059243362173,0.330059243362173,73.3904088023915,73.3904088023915,-0.0467400550842285,0.0544576644897461,0.149883270263672,128
"117","139",-33.60325,115.2736667,"Seagrasses",-14.1867065429688,0.471084041684513,0.471084041684513,315.639064557617,315.639064557617,0.0454715490341187,0.0791651010513306,0.196187019348145,16
"118","13RC1",-33.5059833,115.43075,"Turf.algae",-14.8821105957031,0.552499781225077,0.552499781225077,104.560734494848,104.560734494848,-0.0281400680541992,0.116488933563232,0.40969181060791,1
"122","13RC2",-33.49485,115.45595,"Turf.algae",-14.0918836593628,1.9999289237104,1.9999289237104,122.761163851427,122.761163851427,0.111234426498413,0.271729946136475,0.882733345031738,1
"123","13RC3",-33.4839333,115.45155,"Turf.algae",-14.9687871932983,0.382052303277496,0.382052303277496,190.892819707238,190.892819707238,0.0016028881072998,0.0584101676940918,0.200841903686523,16
"124","13RC4",-33.4993833,115.3964667,"Seagrasses",-20.856912612915,0.541421220488506,0.541421220488506,264.864126927392,264.864126927392,0.00130486488342285,0.0730898380279541,0.345392227172852,16
"125","13RC5",-33.4839333,115.4656167,"Seagrasses",-15.7281875610352,0.206745623863467,0.206745623863467,115.023594214916,115.023594214916,-0.00920724868774414,0.0333161354064941,0.119268417358398,1
"130","14",-33.5296667,115.4130333,"Turf.algae",-14.5669689178467,0.646597724186356,0.646597724186356,70.7372573800477,70.7372573800477,0.0339463949203491,0.0855025053024292,0.275897026062012,1
"131","143",-33.5761667,115.2367,"Turf.algae",-21.2924518585205,0.631690363640393,0.631690363640393,284.255272546244,284.255272546244,0.0280990600585938,0.0878353118896484,0.276504516601562,16
